"","endTime","artistName","trackName","msPlayed","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","type","id","uri","track_href","analysis_url","duration_ms","time_signature","genre"
"6082","2023-10-05 18:04","Taco Hemingway","EINECEIWŚO 008-1",128117,0.783,0.759,6,-8.2,0,0.31,0.176,0,0.423,0.341,135.091,"audio_features","5ZNSQ6dWm13JPrfmRqMtQy","spotify:track:5ZNSQ6dWm13JPrfmRqMtQy","https://api.spotify.com/v1/tracks/5ZNSQ6dWm13JPrfmRqMtQy","https://api.spotify.com/v1/audio-analysis/5ZNSQ6dWm13JPrfmRqMtQy",128118,4,"polish hip hop"
"6092","2023-10-05 18:07","Taco Hemingway","#1 - WIELKOMIEJSKA BEZSENNOŚĆ",100565,0.645,0.522,9,-14.594,1,0.878,0.532,0,0.608,0.841,110.219,"audio_features","07BUeITQt6uTZoP20RmKy6","spotify:track:07BUeITQt6uTZoP20RmKy6","https://api.spotify.com/v1/tracks/07BUeITQt6uTZoP20RmKy6","https://api.spotify.com/v1/audio-analysis/07BUeITQt6uTZoP20RmKy6",114191,3,"polish hip hop"
"6107","2023-10-05 18:10","Taco Hemingway","Niedziela",205328,0.844,0.527,11,-7.395,0,0.0763,0.34,2.71e-05,0.379,0.543,100.003,"audio_features","4mFhy52M8GY8N2h5tlqdhW","spotify:track:4mFhy52M8GY8N2h5tlqdhW","https://api.spotify.com/v1/tracks/4mFhy52M8GY8N2h5tlqdhW","https://api.spotify.com/v1/audio-analysis/4mFhy52M8GY8N2h5tlqdhW",205329,4,"polish hip hop"
"6117","2023-10-05 18:13","Taco Hemingway","1-800-OŚWIECENIE",170839,0.765,0.577,6,-8.904,0,0.291,0.268,0,0.266,0.868,135.04,"audio_features","4voI3idZUVyfVI5Vb2zfAg","spotify:track:4voI3idZUVyfVI5Vb2zfAg","https://api.spotify.com/v1/tracks/4voI3idZUVyfVI5Vb2zfAg","https://api.spotify.com/v1/audio-analysis/4voI3idZUVyfVI5Vb2zfAg",170840,4,"polish hip hop"
"6123","2023-10-05 18:16","Taco Hemingway","Gelato",195526,0.497,0.781,11,-9.903,0,0.406,0.342,0,0.242,0.693,97.007,"audio_features","6ggmioMS1gYK0I5AAdv2NH","spotify:track:6ggmioMS1gYK0I5AAdv2NH","https://api.spotify.com/v1/tracks/6ggmioMS1gYK0I5AAdv2NH","https://api.spotify.com/v1/audio-analysis/6ggmioMS1gYK0I5AAdv2NH",195527,4,"polish hip hop"
"6132","2023-10-05 18:19","Taco Hemingway","Nametag",183346,0.768,0.617,1,-7.113,0,0.247,0.176,0,0.145,0.64,160.12,"audio_features","1Z7cVYHnRJKHxQJFE9MP4y","spotify:track:1Z7cVYHnRJKHxQJFE9MP4y","https://api.spotify.com/v1/tracks/1Z7cVYHnRJKHxQJFE9MP4y","https://api.spotify.com/v1/audio-analysis/1Z7cVYHnRJKHxQJFE9MP4y",183346,4,"polish hip hop"
"6143","2023-10-05 18:23","Taco Hemingway","Całe Lata",237217,0.674,0.552,2,-9.029,0,0.0559,0.203,0,0.277,0.68,147.995,"audio_features","5A2baHJCFwwewI5z0zkXdo","spotify:track:5A2baHJCFwwewI5z0zkXdo","https://api.spotify.com/v1/tracks/5A2baHJCFwwewI5z0zkXdo","https://api.spotify.com/v1/audio-analysis/5A2baHJCFwwewI5z0zkXdo",237218,4,"polish hip hop"
"6153","2023-10-05 18:26","Taco Hemingway","Cichosza",194610,0.796,0.747,8,-6.509,1,0.262,0.433,0,0.126,0.657,140.035,"audio_features","3kjMeY6ZgOZYAFRiPHMqmS","spotify:track:3kjMeY6ZgOZYAFRiPHMqmS","https://api.spotify.com/v1/tracks/3kjMeY6ZgOZYAFRiPHMqmS","https://api.spotify.com/v1/audio-analysis/3kjMeY6ZgOZYAFRiPHMqmS",194611,4,"polish hip hop"
"6163","2023-10-05 18:29","Taco Hemingway","Codziennie",132455,0.786,0.672,11,-7.244,1,0.144,0.0714,0,0.105,0.23,128.099,"audio_features","5kXco3VQGGmTwHpKILv1om","spotify:track:5kXco3VQGGmTwHpKILv1om","https://api.spotify.com/v1/tracks/5kXco3VQGGmTwHpKILv1om","https://api.spotify.com/v1/audio-analysis/5kXco3VQGGmTwHpKILv1om",132455,5,"polish hip hop"
"6172","2023-10-05 18:32","Taco Hemingway","#9 - SŁYSZY PAN?",3994,0.609,0.597,11,-14.915,0,0.902,0.803,0,0.919,0.924,114.383,"audio_features","4xe1n7IlOb3e46CuxcfPd2","spotify:track:4xe1n7IlOb3e46CuxcfPd2","https://api.spotify.com/v1/tracks/4xe1n7IlOb3e46CuxcfPd2","https://api.spotify.com/v1/audio-analysis/4xe1n7IlOb3e46CuxcfPd2",21289,4,"polish hip hop"
